val_loss,lr,epoch,step,train_loss
0.471611887216568,0.009999999776482582,0,140,
,,0,140,0.49104952812194824
0.43413829803466797,0.009999999776482582,1,281,
,,1,281,0.4289064407348633
0.4349237084388733,0.009999999776482582,2,422,
,,2,422,0.42795634269714355
0.4319085478782654,0.009999999776482582,3,563,
,,3,563,0.42754995822906494
0.4345053434371948,0.009999999776482582,4,704,
,,4,704,0.4273604154586792
0.4348762631416321,0.009999999776482582,5,845,
,,5,845,0.42728954553604126
0.4320984482765198,0.009999999776482582,6,986,
,,6,986,0.4271191954612732
0.4361778497695923,0.009999999776482582,7,1127,
,,7,1127,0.4270437955856323
0.4342759847640991,0.009999999776482582,8,1268,
,,8,1268,0.42696261405944824
0.4369434714317322,0.009999999776482582,9,1409,
,,9,1409,0.42696452140808105
0.4282267689704895,0.009999999776482582,10,1550,
,,10,1550,0.4271491765975952
0.42853716015815735,0.009999999776482582,11,1691,
,,11,1691,0.42693784832954407
0.4319283366203308,0.009999999776482582,12,1832,
,,12,1832,0.4268869161605835
0.4285542070865631,0.009999999776482582,13,1973,
,,13,1973,0.42690175771713257
0.4372412860393524,0.009999999776482582,14,2114,
,,14,2114,0.4269197881221771
0.43151894211769104,0.009999999776482582,15,2255,
,,15,2255,0.42676642537117004
0.43228721618652344,0.009999999776482582,16,2396,
,,16,2396,0.42671480774879456
0.43578869104385376,0.009999999776482582,17,2537,
,,17,2537,0.4267008900642395
0.43612998723983765,0.009999999776482582,18,2678,
,,18,2678,0.42659619450569153
0.42946362495422363,0.009999999776482582,19,2819,
,,19,2819,0.42649856209754944
0.4308037757873535,0.009999999776482582,20,2960,
,,20,2960,0.4264472424983978
0.431903600692749,0.009999999776482582,21,3101,
,,21,3101,0.42644989490509033
0.4289831221103668,0.009999999776482582,22,3242,
,,22,3242,0.4269082546234131
0.4342246949672699,0.009999999776482582,23,3383,
,,23,3383,0.42657193541526794
0.428605318069458,0.009999999776482582,24,3524,
,,24,3524,0.42648565769195557
0.4336535334587097,0.009999999776482582,25,3665,
,,25,3665,0.4264513850212097
0.4304346442222595,0.009999999776482582,26,3806,
,,26,3806,0.4264237880706787
0.4317801892757416,0.009999999776482582,27,3947,
,,27,3947,0.42636770009994507
0.4329240024089813,0.009999999776482582,28,4088,
,,28,4088,0.42635560035705566
0.4326106309890747,0.009999999776482582,29,4229,
,,29,4229,0.42634835839271545
0.43226534128189087,0.009999999776482582,30,4370,
,,30,4370,0.42633554339408875
0.4326469898223877,0.009999999776482582,31,4511,
,,31,4511,0.42645564675331116
0.43271470069885254,0.009999999776482582,32,4652,
,,32,4652,0.42634493112564087
0.4306595027446747,0.009999999776482582,33,4793,
,,33,4793,0.4263381063938141
0.4300374984741211,0.009999999776482582,34,4934,
,,34,4934,0.42631372809410095
0.4342573881149292,0.009999999776482582,35,5075,
,,35,5075,0.4262978434562683
0.42923539876937866,0.009999999776482582,36,5216,
,,36,5216,0.4263021647930145
0.42732274532318115,0.009999999776482582,37,5357,
,,37,5357,0.42633092403411865
0.4459726810455322,0.009999999776482582,38,5498,
,,38,5498,0.4262911379337311
0.44199690222740173,0.009999999776482582,39,5639,
,,39,5639,0.4262875020503998
0.43361324071884155,0.009999999776482582,40,5780,
,,40,5780,0.42630302906036377
0.43355321884155273,0.009999999776482582,41,5921,
,,41,5921,0.4262983798980713
0.4338768422603607,0.009999999776482582,42,6062,
,,42,6062,0.426403671503067
0.6162307858467102,0.009999999776482582,43,6203,
,,43,6203,0.42636838555336
0.43111366033554077,0.009999999776482582,44,6344,
,,44,6344,0.42719486355781555
0.4277552366256714,0.009999999776482582,45,6485,
,,45,6485,0.4271393120288849
0.4282262325286865,0.009999999776482582,46,6626,
,,46,6626,0.4268192946910858
0.4277532994747162,0.009999999776482582,47,6767,
,,47,6767,0.4269263744354248
0.4276074767112732,0.009999999776482582,48,6908,
,,48,6908,0.42670172452926636
0.4274800419807434,0.009999999776482582,49,7049,
,,49,7049,0.4265504777431488
0.42739760875701904,0.009999999776482582,50,7190,
,,50,7190,0.4264693558216095
0.42738351225852966,0.009999999776482582,51,7331,
,,51,7331,0.42641109228134155
0.42735928297042847,0.009999999776482582,52,7472,
,,52,7472,0.426401823759079
0.42734724283218384,0.009999999776482582,53,7613,
,,53,7613,0.4263429343700409
0.42731016874313354,0.009999999776482582,54,7754,
,,54,7754,0.42632192373275757
0.4276588261127472,0.009999999776482582,55,7895,
,,55,7895,0.42663976550102234
0.4274246096611023,0.009999999776482582,56,8036,
,,56,8036,0.42648160457611084
0.42731332778930664,0.009999999776482582,57,8177,
,,57,8177,0.42635536193847656
0.42764028906822205,0.009999999776482582,58,8318,
,,58,8318,0.4263080060482025
0.4272705316543579,0.009999999776482582,59,8459,
,,59,8459,0.42627838253974915
0.4272793233394623,0.009999999776482582,60,8600,
,,60,8600,0.4262716472148895
0.42728015780448914,0.009999999776482582,61,8741,
,,61,8741,0.42632168531417847
0.427266925573349,0.009999999776482582,62,8882,
,,62,8882,0.42630940675735474
0.42724499106407166,0.009999999776482582,63,9023,
,,63,9023,0.426288902759552
0.4273015260696411,0.009999999776482582,64,9164,
,,64,9164,0.4262482225894928
0.4274197816848755,0.009999999776482582,65,9305,
,,65,9305,0.42624378204345703
0.434537798166275,0.009999999776482582,66,9446,
,,66,9446,0.4270705282688141
0.4274360239505768,0.009999999776482582,67,9587,
,,67,9587,0.426695853471756
0.4277632534503937,0.009999999776482582,68,9728,
,,68,9728,0.42651090025901794
0.4274653196334839,0.009999999776482582,69,9869,
,,69,9869,0.42639100551605225
0.42824169993400574,0.009999999776482582,70,10010,
,,70,10010,0.42632684111595154
0.4273807406425476,0.009999999776482582,71,10151,
,,71,10151,0.42629900574684143
0.42738470435142517,0.009999999776482582,72,10292,
,,72,10292,0.42633873224258423
0.42735835909843445,0.009999999776482582,73,10433,
,,73,10433,0.42628031969070435
0.4276719093322754,0.009999999776482582,74,10574,
,,74,10574,0.4262602925300598
0.42768311500549316,0.009999999776482582,75,10715,
,,75,10715,0.426249623298645
0.4284646213054657,0.009999999776482582,76,10856,
,,76,10856,0.4262847304344177
0.4280175268650055,0.009999999776482582,77,10997,
,,77,10997,0.426240473985672
0.4272705912590027,0.009999999776482582,78,11138,
,,78,11138,0.4262831211090088
0.4272269606590271,0.009999999776482582,79,11279,
,,79,11279,0.426221638917923
0.4272325932979584,0.009999999776482582,80,11420,
,,80,11420,0.4262157082557678
0.42729270458221436,0.009999999776482582,81,11561,
,,81,11561,0.42621326446533203
0.42721742391586304,0.009999999776482582,82,11702,
,,82,11702,0.42620405554771423
0.4272419512271881,0.009999999776482582,83,11843,
,,83,11843,0.42619940638542175
0.42719680070877075,0.009999999776482582,84,11984,
,,84,11984,0.42618826031684875
0.42724549770355225,0.009999999776482582,85,12125,
,,85,12125,0.42618077993392944
0.42722874879837036,0.009999999776482582,86,12266,
,,86,12266,0.42616668343544006
0.4277319610118866,0.009999999776482582,87,12407,
,,87,12407,0.4261644184589386
0.427267462015152,0.009999999776482582,88,12548,
,,88,12548,0.42615562677383423
0.42826712131500244,0.009999999776482582,89,12689,
,,89,12689,0.42614996433258057
0.42822787165641785,0.009999999776482582,90,12830,
,,90,12830,0.4261554777622223
0.42841899394989014,0.009999999776482582,91,12971,
,,91,12971,0.4261646270751953
0.427213191986084,0.009999999776482582,92,13112,
,,92,13112,0.42614859342575073
0.4272277355194092,0.009999999776482582,93,13253,
,,93,13253,0.42615556716918945
0.4272386431694031,0.009999999776482582,94,13394,
